"FECHA","INDICE_NOMINAL","RENT_ANUAL_IN","INDICE_REAL","RENT_ANUAL_IR"
"2010-11-10","180.0","0.0487","155.43","0.1074"
"2010-11-11","180.13","0.0521","155.71","0.1176"
"2010-11-12","179.3","0.051","154.61","0.1105"
"2010-11-15","179.1","0.0496","153.17","0.1066"
"2010-11-16","177.46","0.0412","152.32","0.1024"
"2010-11-17","177.74","0.0429","152.47","0.1068"
"2010-11-18","177.65","0.0414","152.5","0.1064"
"2010-11-19","177.69","0.0398","152.59","0.0973"
"2010-11-22","178.01","0.0412","152.34","0.0963"
"2010-11-23","177.79","0.0361","152.4","0.089"
"2010-11-24","177.51","0.0333","152.04","0.0736"
"2010-11-25","177.49","0.0323","151.94","0.0587"
"2010-11-26","177.56","0.0304","151.92","0.0459"
"2010-11-29","176.24","0.0249","151.06","0.0383"
"2010-11-30","175.83","0.0209","149.33","0.0166"
"2010-12-01","175.67","0.0166","147.58","0.003"
"2010-12-02","175.45","0.0139","147.76","-0.0021"
"2010-12-03","175.56","0.0123","147.74","-0.0031"
"2010-12-04","175.59","0.0119","147.76","-0.0041"
"2010-12-05","175.63","0.0121","147.78","-0.004"
"2010-12-06","176.17","0.0152","148.08","-0.0019"
"2010-12-07","176.13","0.0143","147.53","-0.006"
"2010-12-08","175.91","0.013","147.54","-0.0059"
"2010-12-09","175.99","0.0131","147.27","-0.0105"
"2010-12-10","176.05","0.0143","147.32","-0.0118"
"2010-12-11","176.08","0.0148","147.34","-0.0122"
"2010-12-12","176.11","0.015","147.36","-0.0121"
"2010-12-13","176.14","0.0151","147.5","-0.0112"
"2010-12-14","176.15","0.0143","147.47","-0.0123"
"2010-12-15","175.94","0.0158","147.37","-0.0122"
"2010-12-16","175.76","0.0129","147.68","-0.0126"
"2010-12-17","175.87","0.0175","148.09","-0.0105"
"2010-12-18","175.91","0.0177","148.11","-0.0105"
"2010-12-19","175.94","0.0179","148.13","-0.0104"
"2010-12-20","176.29","0.0199","148.16","-0.0102"
"2010-12-21","176.78","0.0237","149.04","-0.0065"
"2010-12-22","177.51","0.0303","148.77","-0.0067"
"2010-12-23","177.44","0.0293","146.47","-0.0233"
"2010-12-24","177.48","0.0286","146.71","-0.0216"
"2010-12-25","177.51","0.0288","146.73","-0.0215"
"2010-12-26","177.54","0.029","146.75","-0.0213"
"2010-12-27","177.57","0.0291","146.53","-0.0227"
"2010-12-28","177.45","0.0287","146.54","-0.0242"
"2010-12-29","177.41","0.029","146.54","-0.0237"
"2010-12-30","177.43","0.0284","147.92","-0.0156"
"2011-01-03","177.75","0.0301","148.22","-0.0145"
"2011-01-04","178.13","0.0325","148.72","-0.011"
"2011-01-05","178.0","0.0274","148.63","-0.0123"
"2011-01-06","177.91","0.0264","148.34","-0.0142"
"2011-01-07","178.21","0.0259","148.71","-0.012"
"2011-01-10","178.42","0.0289","149.12","-0.005"
"2011-01-11","178.36","0.0296","146.82","-0.0172"
"2011-01-12","178.34","0.0326","146.84","-0.0137"
"2011-01-13","178.6","0.0337","146.8","-0.0167"
"2011-01-14","178.7","0.0364","146.83","-0.0112"
"2011-01-17","178.83","0.0408","146.88","-0.0067"
"2011-01-18","178.83","0.0404","147.13","-0.001"
"2011-01-19","178.92","0.0408","147.04","0.0041"
"2011-01-20","178.77","0.0395","147.02","0.0071"
"2011-01-21","178.54","0.0392","146.94","0.0084"
"2011-01-24","178.5","0.0437","146.98","0.018"
"2011-01-25","178.56","0.0439","146.92","0.0182"
"2011-01-26","178.52","0.0453","146.94","0.0186"
"2011-01-27","178.6","0.0497","147.04","0.0194"
"2011-01-28","178.53","0.0518","147.03","0.0191"
"2011-01-31","178.76","0.0574","147.04","0.0189"
"2011-02-01","178.58","0.0587","147.06","0.0494"
"2011-02-02","178.05","0.0594","146.54","0.056"
"2011-02-03","177.6","0.0638","146.29","0.0623"
"2011-02-04","177.53","0.0662","146.27","0.0627"
"2011-02-07","176.8","0.0612","145.13","0.0554"
"2011-02-08","176.59","0.059","144.96","0.0543"
"2011-02-09","176.81","0.0587","145.04","0.0524"
"2011-02-10","176.84","0.0586","145.03","0.0569"
"2011-02-11","176.63","0.058","144.74","0.0566"
"2011-02-14","176.67","0.0574","144.5","0.0522"
"2011-02-15","175.86","0.0526","144.15","0.0529"
"2011-02-16","175.9","0.0524","143.8","0.0507"
"2011-02-17","176.49","0.0558","144.43","0.0522"
"2011-02-18","176.55","0.0574","144.41","0.0437"
"2011-02-21","176.17","0.056","144.47","0.0438"
"2011-02-22","176.36","0.0572","144.4","0.0454"
"2011-02-23","176.21","0.056","144.25","0.0463"
"2011-02-24","175.47","0.0506","143.51","0.0414"
"2011-02-25","175.14","0.051","143.07","0.0402"
"2011-02-28","175.42","0.0521","143.46","0.0421"
"2011-03-01","174.51","0.0464","142.64","0.0362"
"2011-03-02","174.38","0.0451","142.54","0.0317"
"2011-03-03","174.38","0.0435","142.62","0.0323"
"2011-03-04","174.54","0.041","142.75","0.0321"
"2011-03-07","174.52","0.0387","142.6","0.0267"
"2011-03-08","174.79","0.0376","142.64","0.0263"
"2011-03-09","174.45","0.0333","142.7","0.0247"
"2011-03-10","174.82","0.0354","142.8","0.0235"
